City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,port lincoln,-34.7333,135.8667,17.39,56,43,7.15,AU,1680917029
157,iquique,-20.2208,-70.1431,21.02,78,4,0.45,CL,1680916663
158,cabo san lucas,22.8909,-109.9124,25.17,54,0,3.09,MX,1680916950
159,byron bay,-28.65,153.6167,25.95,36,0,6.12,AU,1680917029
160,bacolod,10.6667,122.95,28.69,66,53,4.65,PH,1680917030
161,souillac,-20.5167,57.5167,23.21,94,40,2.06,MU,1680916952
162,hualmay,-11.0964,-77.6139,25.38,77,99,3.96,PE,1680917030
163,guayaramerin,-10.8368,-65.3614,22.43,98,100,0.46,BO,1680917031
164,new glasgow,45.5834,-62.6486,0.99,69,70,6.39,CA,1680917031
165,luorong,24.4058,109.6086,17.91,58,57,4.81,CN,1680917031
166,bathsheba,13.2167,-59.5167,26.34,65,20,9.77,BB,1680916955
167,kaitangata,-46.2817,169.8464,16.07,68,0,3.69,NZ,1680916905
168,dunedin,-45.8742,170.5036,17.26,47,0,6.67,NZ,1680916963
169,karasburg,-28.0167,18.75,14.86,49,0,3.31,NA,1680917032
170,chara,56.9064,118.2631,-3.69,64,99,0.42,RU,1680917033
171,clyde river,70.4692,-68.5914,-25.87,76,0,5.66,CA,1680916960
172,miracema do tocantins,-9.5618,-48.3967,22.94,92,39,1.19,BR,1680917033
173,codrington,-38.2667,141.9667,14.48,69,100,7.18,AU,1680916920
174,kidal,18.4411,1.4078,25.96,16,30,4.57,ML,1680916940
175,novikovo,51.1537,37.8879,7.44,75,100,3.55,RU,1680917034
176,makakilo city,21.3469,-158.0858,26.18,71,75,4.63,US,1680917034
177,vanimo,-2.6741,141.3028,28.4,73,100,1.0,PG,1680917034
178,sokoto,13.0609,5.239,32.79,21,100,1.0,NG,1680916987
179,karlstad,59.3793,13.5036,-0.69,86,42,2.06,SE,1680917035
180,maarianhamina,60.0973,19.9348,1.01,86,0,2.57,AX,1680917035
181,broome,42.2506,-75.833,2.61,57,0,3.09,US,1680916949
182,progreso,21.2833,-89.6667,32.06,76,1,7.68,MX,1680917035
183,poros,37.4994,23.4536,9.36,71,100,1.31,GR,1680917035
184,birjand,32.8663,59.2211,11.26,37,20,3.09,IR,1680917036
185,santa cruz,-17.8,-63.1667,22.7,88,97,3.6,BO,1680917036
186,edmundston,47.3737,-68.3251,-4.58,50,75,10.29,CA,1680916927
187,sao jose da coroa grande,-8.8978,-35.1478,26.36,82,58,2.3,BR,1680917037
188,oktyabrskiy,54.4815,53.471,-0.84,63,0,1.6,RU,1680916745
189,atar,20.5169,-13.0499,24.26,23,100,0.88,MR,1680917037
190,kosa,59.9445,54.9977,-4.22,88,65,1.74,RU,1680917037
191,praia da vitoria,38.7333,-27.0667,12.14,76,20,4.37,PT,1680916929
192,luanda,-8.8368,13.2343,25.0,83,75,2.06,AO,1680916971
193,nhlangano,-27.1167,31.2,13.89,68,0,2.12,SZ,1680917038
194,hay river,60.8156,-115.7999,12.99,38,75,5.14,CA,1680916849
195,taoudenni,22.6783,-3.9836,24.62,14,8,4.13,ML,1680916919
196,bodden town,19.2833,-81.25,26.07,77,20,3.6,KY,1680917038
197,shenjiamen,29.9576,122.298,12.03,55,0,2.99,CN,1680917039
198,suntar,62.1444,117.6319,-15.36,72,30,1.92,RU,1680917039
199,itoman,26.1247,127.6694,20.21,60,75,11.83,JP,1680917039
200,saint george,37.1041,-113.5841,20.8,18,75,3.6,US,1680916813
201,coos bay,43.3665,-124.2179,11.29,72,100,5.14,US,1680916813
202,east london,-33.0153,27.9116,20.37,73,100,4.46,ZA,1680916919
203,malakal,9.5334,31.6605,30.26,11,85,2.1,SS,1680917040
204,mayo,38.8876,-76.5119,12.29,50,0,2.57,US,1680917040
205,castro,-24.7911,-50.0119,15.61,98,100,3.01,BR,1680916917
206,panama city,8.9936,-79.5197,27.43,69,75,3.6,PA,1680917041
207,maracaju,-21.6144,-55.1683,20.67,94,100,2.15,BR,1680917041
208,inongo,-1.95,18.2667,22.4,91,100,2.46,CD,1680917041
209,kirakira,-10.4544,161.9205,30.12,67,33,2.74,SB,1680917042
210,marzuq,14.4,46.4667,20.69,69,64,2.73,YE,1680916916
211,mahibadhoo,3.7833,72.9667,27.76,67,35,0.86,MV,1680916874
212,zalantun,48.0,122.7167,5.04,18,7,2.77,CN,1680917043
213,avarua,-21.2078,-159.775,29.03,79,20,6.17,CK,1680916875
214,port hardy,50.6996,-127.4199,8.1,71,100,3.6,CA,1680917029
215,mutoko,-17.397,32.2268,13.83,95,5,1.2,ZW,1680917044
216,dong hoi,17.4833,106.6,23.7,93,100,3.13,VN,1680917045
217,namatanai,-3.6667,152.4333,28.58,73,100,1.23,PG,1680916991
218,puerto baquerizo moreno,-0.9,-89.6,26.44,78,100,2.25,EC,1680917045
219,lidzbark warminski,54.1259,20.5795,5.97,89,100,1.86,PL,1680917046
220,huescar,37.811,-2.5412,7.29,46,0,0.29,ES,1680917046
221,portland,45.5234,-122.6762,12.56,74,98,3.13,US,1680917340
222,angoche,-16.2325,39.9086,24.56,84,100,1.48,MZ,1680917046
