City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,karaj,35.8355,51.0103,17.29,27,75,6.17,IR,1681072281
249,leningradskiy,69.3833,178.4167,-18.91,96,100,7.21,RU,1681072155
250,tete,-16.1564,33.5867,27.05,74,20,3.09,MZ,1681072282
251,sao gabriel da cachoeira,-0.1303,-67.0892,22.32,99,100,1.04,BR,1681072282
252,tuatapere,-46.1333,167.6833,11.68,72,100,1.7,NZ,1681072283
253,moulins,46.5,3.3333,7.0,82,98,1.3,FR,1681072284
254,aripuana,-9.1667,-60.6333,24.79,97,97,0.52,BR,1681072284
255,ganzhou,28.8184,115.4327,16.09,70,31,0.64,CN,1681072285
256,ketchikan,55.3422,-131.6461,4.99,87,100,8.75,US,1681072285
257,codo,-4.4553,-43.8856,24.67,94,93,0.17,BR,1681072286
258,zonguldak,41.25,31.8333,5.82,92,95,1.24,TR,1681072286
259,morant bay,17.8815,-76.4093,28.73,73,24,3.46,JM,1681072286
260,pacific grove,36.6177,-121.9166,24.1,64,0,2.68,US,1681072287
261,saint-joseph,-21.3667,55.6167,24.21,80,100,1.43,RE,1681072288
262,freeport,40.6576,-73.5832,12.86,48,0,6.17,US,1681071716
263,jieshi,22.8134,115.8257,17.96,74,21,4.59,CN,1681072288
264,mikkeli,61.6886,27.2723,1.75,80,0,1.03,FI,1681072289
265,auki,-8.7676,160.7034,26.62,83,98,1.29,SB,1681072290
266,aykhal,66.0,111.5,-29.01,100,100,1.41,RU,1681072290
267,kailua,21.4022,-157.7394,24.99,86,100,9.77,US,1681072291
268,tasiilaq,65.6145,-37.6368,4.09,92,100,19.89,GL,1681072291
269,jaszladany,47.3667,20.1667,7.0,82,63,2.46,HU,1681072292
270,hambantota,6.1241,81.1185,25.79,82,12,4.41,LK,1681072292
271,ongandjera,-17.8833,15.0667,23.19,62,85,3.45,NA,1681072293
272,atbasar,51.8,68.3333,0.78,57,3,1.09,KZ,1681072294
273,kyzyl-mazhalyk,51.1333,90.6,-4.38,50,32,1.53,RU,1681072296
274,katsuura,35.1333,140.3,14.14,64,40,5.77,JP,1681072296
275,paamiut,61.994,-49.6678,-2.13,86,100,12.79,GL,1681072296
276,baiao,-2.7906,-49.6717,25.38,96,97,0.55,BR,1681072297
277,nabire,-3.3667,135.4833,23.93,89,88,1.26,ID,1681072297
278,grindavik,63.8424,-22.4338,6.97,93,100,2.06,IS,1681072298
279,vicksburg,32.3526,-90.8779,19.85,66,40,2.57,US,1681072298
280,vila velha,-20.3297,-40.2925,25.97,78,40,6.69,BR,1681072198
281,port lincoln,-34.7333,135.8667,13.3,79,7,2.97,AU,1681072243
282,litovko,49.2361,135.1742,2.01,64,32,0.45,RU,1681072299
283,killybegs,54.6333,-8.45,9.84,88,100,4.48,IE,1681072300
284,san alberto,7.7611,-73.3922,31.17,65,41,0.71,CO,1681072300
285,dhidhdhoo,6.8833,73.1,28.68,73,4,5.43,MV,1681072302
286,palestine,31.9216,35.2033,21.08,33,100,1.96,PS,1681072302
287,mykhaylivka,47.2724,35.2224,7.35,90,26,3.0,UA,1681072303
288,kilindoni,-7.9139,39.6668,27.46,76,88,4.38,TZ,1681072303
289,fairbanks,64.8378,-147.7164,-13.55,67,20,5.14,US,1681072148
290,houma,29.5958,-90.7195,19.0,80,100,4.12,US,1681072187
291,mount gambier,-37.8333,140.7667,11.99,85,85,2.19,AU,1681072304
292,meulaboh,4.1363,96.1285,25.0,89,96,1.36,ID,1681072304
293,saint-michel-des-saints,46.6834,-73.9159,3.15,95,39,3.08,CA,1681072304
294,barguzin,53.6167,109.6167,-4.16,91,100,3.3,RU,1681072304
295,erenhot,43.6475,111.9767,7.2,21,94,8.69,CN,1681072305
296,linhares,-19.3911,-40.0722,23.69,87,98,5.27,BR,1681072305
297,omboue,-1.5746,9.2618,25.54,86,97,1.08,GA,1681072305
298,sept-iles,50.2001,-66.3821,4.29,60,75,8.75,CA,1681072225
299,aninoasa,44.9667,25.4333,8.0,99,100,2.55,RO,1681072306
300,fort-shevchenko,44.5086,50.263,10.35,77,9,2.53,KZ,1681072306
301,bathsheba,13.2167,-59.5167,29.34,65,20,8.75,BB,1681072307
302,fortuna,40.5982,-124.1573,18.53,62,94,3.22,US,1681072123
303,nanyang,32.9947,112.5328,13.97,80,100,2.69,CN,1681072307
304,aksarka,66.5606,67.7975,-14.06,85,100,6.74,RU,1681072307
